memory_id,user_id,memory_type,content,importance_score,created_at,last_accessed,decay_factor
memory-7926ac,user-d5b2a6,interaction,I comment post post-210717: 'No way! That's so messed up if true.',0.7,2025-09-13 06:12:06,2025-09-13 06:12:06,1.0
memory-606000,user-d5b2a6,interaction,I comment post post-ff1918: 'I knew crypto seemed shady! Always felt like there's a catch.',0.7,2025-09-13 06:12:06,2025-09-13 06:12:06,1.0
memory-b63dbc,user-d5b2a6,interaction,I like post post-eb4ec7,0.5,2025-09-13 06:12:05,2025-09-13 06:12:05,1.0
memory-4b13ab,user-d5b2a6,interaction,I comment post post-eb4ec7: 'Tell me about it. I'm constantly comparing myself to others. It's exhausting.',0.7,2025-09-13 06:12:05,2025-09-13 06:12:05,1.0
memory-9d4c10,user-d5b2a6,interaction,I comment post post-9624c1: 'Yeah... no surprise there. Big tech is sus.',0.7,2025-09-13 06:12:04,2025-09-13 06:12:04,1.0
memory-558058,user-d5b2a6,interaction,I comment post post-a2a613: 'Politicians taking foreign money? Groundbreaking. 🙄',0.7,2025-09-13 06:12:04,2025-09-13 06:12:04,1.0
memory-13afd8,user-d5b2a6,interaction,"I comment post post-d81bf3: 'Ugh, this is scary if true. Gotta be careful what you read online these days.'",0.7,2025-09-13 06:12:03,2025-09-13 06:12:03,1.0
memory-1e9015,user-d5b2a6,interaction,I comment post post-f208ba: 'That's messed up. I'm so tired of all the lies.',0.7,2025-09-13 06:12:03,2025-09-13 06:12:03,1.0
memory-cc88b4,user-d5b2a6,interaction,I like post post-443727,0.5,2025-09-13 06:12:02,2025-09-13 06:12:02,1.0
memory-9d8a8c,user-d5b2a6,interaction,I comment post post-443727: 'That's good to hear! Hopefully it actually translates to more jobs.',0.7,2025-09-13 06:12:02,2025-09-13 06:12:02,1.0
memory-1178d2,user-f89eda,interaction,I like post post-210717,0.5,2025-09-13 06:11:58,2025-09-13 06:11:58,1.0
